0010,"Chief Executives And Legislators"
0020,"General And Operations Managers"
0040,"Advertising And Promotions Managers"
0050,"Marketing And Sales Managers"
0060,"Public Relations And Fundraising Managers"
0100,"Administrative Services Managers"
0110,"Computer And Information Systems Managers"
0120,"Financial Managers"
0135,"Compensation And Benefits Managers"
0136,"Human Resources Managers"
0137,"Training And Development Managers"
0140,"Industrial Production Managers"
0150,"Purchasing Managers"
0160,"Transportation, Storage, And Distribution Managers"
0205,"Farmers, Ranchers, And Other Agricultural Managers"
0220,"Construction Managers"
0230,"Education Administrators"
0300,"Architectural And Engineering Managers"
0310,"Food Service Managers"
0330,"Gaming Managers"
0340,"Lodging Managers"
0350,"Medical And Health Services Managers"
0360,"Natural Sciences Managers"
0410,"Property, Real Estate, And Community Association"
0420,"Social And Community Service Managers"
0425,"Emergency Management Directors"
0430,"Miscellaneous Managers, Including Funeral Service"
0500,"Agents And Business Managers Of Artists, Performers,"
0510,"Buyers And Purchasing Agents, Farm Products"
0520,"Wholesale And Retail Buyers, Except Farm Products"
0530,"Purchasing Agents, Except Wholesale, Retail, And Farm"
0540,"Claims Adjusters, Appraisers, Examiners, And"
0565,"Compliance Officers"
0600,"Cost Estimators"
0630,"Human Resources Workers"
0640,"Compensation, Benefits, And Job Analysis Specialists"
0650,"Training And Development Specialists"
0700,"Logisticians"
0710,"Management Analysts"
0725,"Meeting, Convention, And Event Planners"
0726,"Fundraisers"
0735,"Market Research Analysts And Marketing Specialists"
0740,"Business Operations Specialists, All Other"
0800,"Accountants And Auditors"
0810,"Appraisers And Assessors Of Real Estate"
0820,"Budget Analysts"
0830,"Credit Analysts"
0840,"Financial Analysts"
0850,"Personal Financial Advisors"
0860,"Insurance Underwriters"
0900,"Financial Examiners"
0910,"Credit Counselors And Loan Officers"
0930,"Tax Examiners And Collectors, And Revenue Agents"
0940,"Tax Preparers"
0950,"Financial Specialists, All Other"
1005,"Computer And Information Research Scientists"
1006,"Computer Systems Analysts"
1007,"Information Security Analysts"
1010,"Computer Programmers"
1020,"Software Developers, Applications And Systems Software"
1030,"Web Developers"
1050,"Computer Support Specialists"
1060,"Database Administrators"
1105,"Network And Computer Systems Administrators"
1106,"Computer Network Architects"
1107,"Computer Occupations, All Other"
1200,"Actuaries"
1220,"Operations Research Analysts"
1240,"Miscellaneous Mathematical Science Occupations,"
1300,"Architects, Except Naval"
1310,"Surveyors, Cartographers, And Photogrammetrists"
1320,"Aerospace Engineers"
1340,"Biomedical And Agricultural Engineers"
1350,"Chemical Engineers"
1360,"Civil Engineers"
1400,"Computer Hardware Engineers"
1410,"Electrical And Electronics Engineers"
1420,"Environmental Engineers"
1430,"Industrial Engineers, Including Health And Safety"
1440,"Marine Engineers And Naval Architects"
1450,"Materials Engineers"
1460,"Mechanical Engineers"
1520,"Petroleum, Mining And Geological Engineers, Including"
1530,"Miscellaneous Engineers, Including Nuclear Engineers"
1540,"Drafters"
1550,"Engineering Technicians, Except Drafters"
1560,"Surveying And Mapping Technicians"
1600,"Agricultural And Food Scientists"
1610,"Biological Scientists"
1640,"Conservation Scientists And Foresters"
1650,"Medical Scientists, And Life Scientists, All Other"
1700,"Astronomers And Physicists"
1710,"Atmospheric And Space Scientists"
1720,"Chemists And Materials Scientists"
1740,"Environmental Scientists And Geoscientists"
1760,"Physical Scientists, All Other"
1800,"Economists"
1820,"Psychologists"
1840,"Urban And Regional Planners"
1860,"Miscellaneous Social Scientists, Including Survey"
1900,"Agricultural And Food Science Technicians"
1910,"Biological Technicians"
1920,"Chemical Technicians"
1930,"Geological And Petroleum Technicians, And Nuclear"
1965,"Miscellaneous Life, Physical, And Social Science"
2000,"Counselors"
2010,"Social Workers"
2015,"Probation Officers And Correctional Treatment Specialists"
2016,"Social And Human Service Assistants"
2025,"Miscellaneous Community And Social Service Specialists,"
2040,"Clergy"
2050,"Directors, Religious Activities And Education"
2060,"Religious Workers, All Other"
2100,"Lawyers, And Judges, Magistrates, And Other Judicial"
2105,"Judicial Law Clerks"
2145,"Paralegals And Legal Assistants"
2160,"Miscellaneous Legal Support Workers"
2200,"Postsecondary Teachers"
2300,"Preschool And Kindergarten Teachers"
2310,"Elementary And Middle School Teachers"
2320,"Secondary School Teachers"
2330,"Special Education Teachers"
2340,"Other Teachers And Instructors"
2400,"Archivists, Curators, And Museum Technicians"
2430,"Librarians"
2440,"Library Technicians"
2540,"Teacher Assistants"
2550,"Other Education, Training, And Library Workers"
2600,"Artists And Related Workers"
2630,"Designers"
2700,"Actors"
2710,"Producers And Directors"
2720,"Athletes, Coaches, Umpires, And Related Workers"
2740,"Dancers And Choreographers"
2750,"Musicians, Singers, And Related Workers"
2760,"Entertainers And Performers, Sports And Related"
2800,"Announcers"
2810,"News Analysts, Reporters And Correspondents"
2825,"Public Relations Specialists"
2830,"Editors"
2840,"Technical Writers"
2850,"Writers And Authors"
2860,"Miscellaneous Media And Communication Workers"
2900,"Broadcast And Sound Engineering Technicians And Radio"
2910,"Photographers"
2920,"Television, Video, And Motion Picture Camera Operators"
3000,"Chiropractors"
3010,"Dentists"
3030,"Dietitians And Nutritionists"
3040,"Optometrists"
3050,"Pharmacists"
3060,"Physicians And Surgeons"
3110,"Physician Assistants"
3120,"Podiatrists"
3140,"Audiologists"
3150,"Occupational Therapists"
3160,"Physical Therapists"
3200,"Radiation Therapists"
3210,"Recreational Therapists"
3220,"Respiratory Therapists"
3230,"Speech Language Pathologists"
3245,"Other Therapists, Including Exercise Physiologists"
3250,"Veterinarians"
3255,"Registered Nurses"
3256,"Nurse Anesthetists"
3258,"Nurse Practitioners, And Nurse Midwives"
3260,"Health Diagnosing And Treating Practitioners, All Other"
3300,"Clinical Laboratory Technologists And Technicians"
3310,"Dental Hygienists"
3320,"Diagnostic Related Technologists And Technicians"
3400,"Emergency Medical Technicians And Paramedics"
3420,"Health Practitioner Support Technologists And Technicians"
3500,"Licensed Practical And Licensed Vocational Nurses"
3510,"Medical Records And Health Information Technicians"
3520,"Opticians, Dispensing"
3535,"Miscellaneous Health Technologists And Technicians"
3540,"Other Healthcare Practitioners And Technical"
3600,"Nursing, Psychiatric, And Home Health Aides"
3610,"Occupational Therapy Assistants And Aides"
3620,"Physical Therapist Assistants And Aides"
3630,"Massage Therapists"
3640,"Dental Assistants"
3645,"Medical Assistants"
3646,"Medical Transcriptionists"
3647,"Pharmacy Aides"
3648,"Veterinary Assistants And Laboratory Animal Caretakers"
3649,"Phlebotomists"
3655,"Healthcare Support Workers, All Other, Including"
3700,"First-Line Supervisors Of Correctional Officers"
3710,"First-Line Supervisors Of Police And Detectives"
3720,"First-Line Supervisors Of Fire Fighting And Prevention"
3730,"First-Line Supervisors Of Protective Service Workers, All"
3740,"Firefighters"
3750,"Fire Inspectors"
3800,"Bailiffs, Correctional Officers, And Jailers"
3820,"Detectives And Criminal Investigators"
3840,"Miscellaneous Law Enforcement Workers"
3850,"Police Officers"
3900,"Animal Control Workers"
3910,"Private Detectives And Investigators"
3930,"Security Guards And Gaming Surveillance Officers"
3940,"Crossing Guards"
3945,"Transportation Security Screeners"
3955,"Lifeguards And Other Recreational, And All Other"
4000,"Chefs And Head Cooks"
4010,"First-Line Supervisors Of Food Preparation And Serving"
4020,"Cooks"
4030,"Food Preparation Workers"
4040,"Bartenders"
4050,"Combined Food Preparation And Serving Workers,"
4060,"Counter Attendants, Cafeteria, Food Concession, And"
4110,"Waiters And Waitresses"
4120,"Food Servers, Nonrestaurant"
4130,"Miscellaneous Food Preparation And Serving Related"
4140,"Dishwashers"
4150,"Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop"
4200,"First-Line Supervisors Of Housekeeping And Janitorial"
4210,"First-Line Supervisors Of Landscaping, Lawn Service, And"
4220,"Janitors And Building Cleaners"
4230,"Maids And Housekeeping Cleaners"
4240,"Pest Control Workers"
4250,"Grounds Maintenance Workers"
4300,"First-Line Supervisors Of Gaming Workers"
4320,"First-Line Supervisors Of Personal Service Workers"
4340,"Animal Trainers"
4350,"Nonfarm Animal Caretakers"
4400,"Gaming Services Workers"
4410,"Motion Picture Projectionists"
4420,"Ushers, Lobby Attendants, And Ticket Takers"
4430,"Miscellaneous Entertainment Attendants And Related"
4460,"Embalmers And Funeral Attendants"
4465,"Morticians, Undertakers, And Funeral Directors"
4500,"Barbers"
4510,"Hairdressers, Hairstylists, And Cosmetologists"
4520,"Miscellaneous Personal Appearance Workers"
4530,"Baggage Porters, Bellhops, And Concierges"
4540,"Tour And Travel Guides"
4600,"Childcare Workers"
4610,"Personal Care Aides"
4620,"Recreation And Fitness Workers"
4640,"Residential Advisors"
4650,"Personal Care And Service Workers, All Other"
4700,"First-Line Supervisors Of Retail Sales Workers"
4710,"First-Line Supervisors Of Non-Retail Workers"
4720,"Cashiers"
4740,"Counter And Rental Clerks"
4750,"Parts Salespersons"
4760,"Retail Salespersons"
4800,"Advertising Sales Agents"
4810,"Insurance Sales Agents"
4820,"Securities, Commodities, And Financial Services Sales"
4830,"Travel Agents"
4840,"Sales Representatives, Services, All Other"
4850,"Sales Representatives, Wholesale And Manufacturing"
4900,"Models, Demonstrators, And Product Promoters"
4920,"Real Estate Brokers And Sales Agents"
4930,"Sales Engineers"
4940,"Telemarketers"
4950,"Door-To-Door Sales Workers, News And Street Vendors,"
4965,"Sales And Related Workers, All Other"
5000,"First-Line Supervisors Of Office And Administrative"
5010,"Switchboard Operators, Including Answering Service"
5020,"Telephone Operators"
5030,"Communications Equipment Operators, All Other"
5100,"Bill And Account Collectors"
5110,"Billing And Posting Clerks"
5120,"Bookkeeping, Accounting, And Auditing Clerks"
5130,"Gaming Cage Workers"
5140,"Payroll And Timekeeping Clerks"
5150,"Procurement Clerks"
5160,"Tellers"
5165,"Financial Clerks, All Other"
5200,"Brokerage Clerks"
5220,"Court, Municipal, And License Clerks"
5230,"Credit Authorizers, Checkers, And Clerks"
5240,"Customer Service Representatives"
5250,"Eligibility Interviewers, Government Programs"
5260,"File Clerks"
5300,"Hotel, Motel, And Resort Desk Clerks"
5310,"Interviewers, Except Eligibility And Loan"
5320,"Library Assistants, Clerical"
5330,"Loan Interviewers And Clerks"
5340,"New Accounts Clerks"
5350,"Correspondence Clerks And Order Clerks"
5360,"Human Resources Assistants, Except Payroll And"
5400,"Receptionists And Information Clerks"
5410,"Reservation And Transportation Ticket Agents And Travel"
5420,"Information And Record Clerks, All Other"
5500,"Cargo And Freight Agents"
5510,"Couriers And Messengers"
5520,"Dispatchers"
5530,"Meter Readers, Utilities"
5540,"Postal Service Clerks"
5550,"Postal Service Mail Carriers"
5560,"Postal Service Mail Sorters, Processors, And Processing"
5600,"Production, Planning, And Expediting Clerks"
5610,"Shipping, Receiving, And Traffic Clerks"
5620,"Stock Clerks And Order Fillers"
5630,"Weighers, Measurers, Checkers, And Samplers,"
5700,"Secretaries And Administrative Assistants"
5800,"Computer Operators"
5810,"Data Entry Keyers"
5820,"Word Processors And Typists"
5840,"Insurance Claims And Policy Processing Clerks"
5850,"Mail Clerks And Mail Machine Operators, Except Postal"
5860,"Office Clerks, General"
5900,"Office Machine Operators, Except Computer"
5910,"Proofreaders And Copy Markers"
5920,"Statistical Assistants"
5940,"Miscellaneous Office And Administrative Support"
6005,"First-Line Supervisors Of Farming, Fishing, And Forestry"
6010,"Agricultural Inspectors"
6040,"Graders And Sorters, Agricultural Products"
6050,"Miscellaneous Agricultural Workers, Including Animal"
6100,"Fishing And Hunting Workers"
6120,"Forest And Conservation Workers"
6130,"Logging Workers"
6200,"First-Line Supervisors Of Construction Trades And"
6210,"Boilermakers"
6220,"Brickmasons, Blockmasons, And Stonemasons"
6230,"Carpenters"
6240,"Carpet, Floor, And Tile Installers And Finishers"
6250,"Cement Masons, Concrete Finishers, And Terrazzo Workers"
6260,"Construction Laborers"
6300,"Paving, Surfacing, And Tamping Equipment Operators"
6320,"Construction Equipment Operators, Except Paving,"
6330,"Drywall Installers, Ceiling Tile Installers, And Tapers"
6355,"Electricians"
6360,"Glaziers"
6400,"Insulation Workers"
6420,"Painters, Construction And Maintenance"
6430,"Paperhangers"
6440,"Pipelayers, Plumbers, Pipefitters, And Steamfitters"
6460,"Plasterers And Stucco Masons"
6500,"Reinforcing Iron And Rebar Workers"
6515,"Roofers"
6520,"Sheet Metal Workers"
6530,"Structural Iron And Steel Workers"
6600,"Helpers, Construction Trades"
6660,"Construction And Building Inspectors"
6700,"Elevator Installers And Repairers"
6710,"Fence Erectors"
6720,"Hazardous Materials Removal Workers"
6730,"Highway Maintenance Workers"
6740,"Rail-Track Laying And Maintenance Equipment Operators"
6765,"Miscellaneous Construction Workers, Including Solar"
6800,"Derrick, Rotary Drill, And Service Unit Operators, And"
6820,"Earth Drillers, Except Oil And Gas"
6830,"Explosives Workers, Ordnance Handling Experts, And"
6840,"Mining Machine Operators"
6940,"Miscellaneous Extraction Workers, Including Roof Bolters"
7000,"First-Line Supervisors Of Mechanics, Installers, And"
7010,"Computer, Automated Teller, And Office Machine Repairers"
7020,"Radio And Telecommunications Equipment Installers And"
7030,"Avionics Technicians"
7040,"Electric Motor, Power Tool, And Related Repairers"
7100,"Electrical And Electronics Repairers, Transportation"
7110,"Electronic Equipment Installers And Repairers, Motor"
7120,"Electronic Home Entertainment Equipment Installers And"
7130,"Security And Fire Alarm Systems Installers"
7140,"Aircraft Mechanics And Service Technicians"
7150,"Automotive Body And Related Repairers"
7160,"Automotive Glass Installers And Repairers"
7200,"Automotive Service Technicians And Mechanics"
7210,"Bus And Truck Mechanics And Diesel Engine Specialists"
7220,"Heavy Vehicle And Mobile Equipment Service Technicians"
7240,"Small Engine Mechanics"
7260,"Miscellaneous Vehicle And Mobile Equipment Mechanics,"
7300,"Control And Valve Installers And Repairers"
7315,"Heating, Air Conditioning, And Refrigeration Mechanics"
7320,"Home Appliance Repairers"
7330,"Industrial And Refractory Machinery Mechanics"
7340,"Maintenance And Repair Workers, General"
7350,"Maintenance Workers, Machinery"
7360,"Millwrights"
7410,"Electrical Power-Line Installers And Repairers"
7420,"Telecommunications Line Installers And Repairers"
7430,"Precision Instrument And Equipment Repairers"
7510,"Coin, Vending, And Amusement Machine Servicers And"
7540,"Locksmiths And Safe Repairers"
7550,"Manufactured Building And Mobile Home Installers"
7560,"Riggers"
7610,"Helpers-Installation, Maintenance, And Repair Workers"
7630,"Other Installation, Maintenance, And Repair Workers,"
7700,"First-Line Supervisors Of Production And Operating"
7710,"Aircraft Structure, Surfaces, Rigging, And Systems"
7720,"Electrical, Electronics, And Electromechanical"
7730,"Engine And Other Machine Assemblers"
7740,"Structural Metal Fabricators And Fitters"
7750,"Miscellaneous Assemblers And Fabricators"
7800,"Bakers"
7810,"Butchers And Other Meat, Poultry, And Fish Processing"
7830,"Food And Tobacco Roasting, Baking, And Drying Machine"
7840,"Food Batchmakers"
7850,"Food Cooking Machine Operators And Tenders\"
7855,"Food Processing Workers, All Other"
7900,"Computer Control Programmers And Operators"
7920,"Extruding And Drawing Machine Setters, Operators, And"
7930,"Forging Machine Setters, Operators, And Tenders, Metal"
7940,"Rolling Machine Setters, Operators, And Tenders, Metal"
7950,"Cutting, Punching, And Press Machine Setters, Operators,"
7960,"Drilling And Boring Machine Tool Setters, Operators, And"
8000,"Grinding, Lapping, Polishing, And Buffing Machine Tool"
8010,"Lathe And Turning Machine Tool Setters, Operators, And"
8030,"Machinists"
8040,"Metal Furnace Operators, Tenders, Pourers, And Casters"
8060,"Model Makers And Patternmakers, Metal And Plastic"
8100,"Molders And Molding Machine Setters, Operators, And"
8130,"Tool And Die Makers"
8140,"Welding, Soldering, And Brazing Workers"
8150,"Heat Treating Equipment Setters, Operators, And Tenders,"
8200,"Plating And Coating Machine Setters, Operators, And"
8210,"Tool Grinders, Filers, And Sharpeners"
8220,"Miscellaneous Metal Workers And Plastic Workers,"
8250,"Prepress Technicians And Workers"
8255,"Printing Press Operators"
8256,"Print Binding And Finishing Workers"
